Model,MAE,RMSE,R2
Random Forest,0.03846572274945295,0.20522293904423716,0.9999753264641018
LightGBM,0.10926349742430777,0.5856716186653456,0.9997990500310847
XGBoost,0.17579568922519684,0.9462711423076642,0.9994754195213318
Ridge,10.339852251391312,14.35192951911801,0.879329761392169
